collision_reward,right_lane_reward,high_speed_reward,on_road_reward,safe_distance_reward,left_vehicle_overtaken_reward,smooth_driving_reward
0.0,0.0,1.0356483670648232e-10,1.0,1,0,1
0.0,0.0,1.2122711723350222e-11,1.0,1,0,1
0.0,0.0,1.5964474187057933e-12,1.0,1,0,1
0.0,0.0,2.1032064978498967e-13,1.0,1,0,1
0.0,0.0,2.7569058147491886e-14,1.0,1,0,1
0.0,0.0,3.694822225952521e-15,1.0,1,0,1
0.0,0.0,5.684341886080803e-16,1.0,1,0,1
0.0,0.0,2.8421709430404013e-16,1.0,1,0,1
0.0,0.0,2.8421709430404013e-16,1.0,1,0,1
0.0,0.0,2.8421709430404013e-16,1.0,1,0,1
1.0,0.0,0.0,1.0,-0.0,0,0
0.0,0.0,0.5,1.0,1,0,1
0.0,0.0,0.5,1.0,1,0,1
0.0,0.0,0.5,1.0,1,0,1
0.0,0.0,0.5,1.0,1,0,1
0.0,0.0,0.45,1.0,1,0,1
0.0,0.0,0.45,1.0,1,0,1
